exception_id,exception_type,upstream_rule_code,campaign_id,store_id,sku,allocation_id,confirmation_id,severity,exception_status,exception_owner,created_date,due_date,resolved_date,resolution_time_hours,resolution_type,resolution_text,waiver_reason,root_cause_category,root_cause_subcategory,parent_id,reopen_count,sla_pause_reason,sla_pause_started_at,sla_pause_max_hours,last_update_at,last_update_type,corrective_action_id,corrective_action_owner,corrective_action_deadline,corrective_action_status
EX-001,low_sell_through,EX-15,C-2026-FCL,S-040,FCL-005,A-1305-S-040-FCL-005,,watch,waived,Merchant + Planner,2026-09-29T13:15:00-05:00,2026-10-06T13:15:00-05:00,,,,,Duplicate of another tracked exception; merged into parent record.,,,,0,,,,2026-09-30T12:15:00-05:00,reassign,,,,
EX-002,quantity_mismatch,EX-05,C-2026-BTS,S-026,BTS-005,A-635-S-026-BTS-005,CONF-614-S-026-BTS-005,watch,paused,DC Operations,2026-08-01T09:30:00-05:00,2026-08-03T09:30:00-05:00,,,,,,,,,0,transit,2026-08-01T11:30:00-05:00,24,2026-08-03T10:30:00-05:00,resume,,,,
EX-003,missing_confirmation,EX-01,C-2026-PEACH,S-066,PEACH-012,A-120-S-066-PEACH-012,,watch,resolved,Field Operations,2026-07-01T07:45:00-05:00,2026-07-03T07:45:00-05:00,2026-07-02T16:15:00-05:00,33.0,reposted,Confirmation reposted by field rep after initial system error.,,supplier,quality_defect,,0,,,,2026-07-05T09:00:00-05:00,pause,,,,
EX-004,low_sell_through,EX-15,C-2026-PEACH,S-051,PEACH-009,A-237-S-051-PEACH-009,,watch,resolved,Merchant + Planner,2026-07-29T18:15:00-05:00,2026-08-05T18:15:00-05:00,2026-08-04T17:00:00-05:00,143.0,no_action_required,Within tolerance threshold; no corrective action needed.,,dc,carton_damage,,0,,,,2026-08-01T15:45:00-05:00,status_change,,,,
EX-005,low_sell_through,EX-15,C-2026-BTS,S-058,BTS-005,A-495-S-058-BTS-005,,watch,waived,Merchant + Planner,2026-08-29T12:00:00-05:00,2026-09-05T12:00:00-05:00,,,,,Waived due to system outage affecting all stores in the region that day.,,,,0,,,,2026-08-31T12:15:00-05:00,reassign,,,,
EX-006,quantity_mismatch,EX-05,C-2026-FCL,S-003,FCL-005,A-1035-S-003-FCL-005,CONF-1003-S-003-FCL-005,watch,resolved,DC Operations,2026-09-01T12:30:00-04:00,2026-09-03T12:30:00-04:00,2026-09-03T17:30:00-04:00,53.0,corrected,Quantity corrected after recount at store receiving dock.,,store,staff_absence,,0,,,,2026-09-02T09:45:00-04:00,resume,,,,
EX-007,overstock_risk,EX-13,C-2026-PEACH,S-037,PEACH-002,A-050-S-037-PEACH-002,,watch,in_progress,Merchant,2026-07-29T08:30:00-05:00,2026-08-05T08:30:00-05:00,,,,,,logistics,route_delay,,1,,,,2026-07-30T08:45:00-05:00,comment,CA-007,Jess Brooks,2026-08-09,open
EX-008,missing_photo_proof,EX-09,C-2026-PEACH,S-045,PEACH-010,A-190-S-045-PEACH-010,CONF-187-S-045-PEACH-010,watch,in_progress,Field Representative,2026-07-01T08:30:00-07:00,2026-07-03T08:30:00-07:00,,,,,,system,sync_failure,,0,,,,2026-07-03T16:30:00-07:00,reassign,CA-008,Kevin Liu,2026-07-12,resolved
EX-009,stockout_risk,EX-10,C-2026-PEACH,S-067,PEACH-007,A-031-S-067-PEACH-007,,critical,waived,Replenishment Planner,2026-07-29T18:45:00-05:00,2026-07-30T18:45:00-05:00,,,,,Store was closed for renovation; exception is not operationally actionable.,,,,0,,,,2026-08-02T14:45:00-05:00,pause,,,,
EX-010,quantity_mismatch,EX-05,C-2026-BTS,S-069,BTS-001,A-781-S-069-BTS-001,CONF-758-S-069-BTS-001,watch,paused,DC Operations,2026-08-01T16:30:00-07:00,2026-08-03T16:30:00-07:00,,,,,,,,,0,store,2026-08-01T17:15:00-07:00,48,2026-08-03T13:30:00-07:00,comment,,,,
EX-011,overstock_risk,EX-13,C-2026-FCL,S-074,FCL-007,A-1257-S-074-FCL-007,,watch,waived,Merchant,2026-09-29T13:15:00-04:00,2026-10-06T13:15:00-04:00,,,,,Within acceptable variance tolerance per revised business rules.,,,,0,,,,2026-09-30T18:15:00-04:00,pause,,,,
EX-012,overstock_risk,EX-13,C-2026-FCL,S-100,FCL-009,A-1129-S-100-FCL-009,,watch,in_progress,Merchant,2026-09-29T13:45:00-04:00,2026-10-06T13:45:00-04:00,,,,,,system,sync_failure,,0,,,,2026-10-04T14:30:00-04:00,pause,CA-012,Jess Brooks,2026-10-11,resolved
EX-013,low_sell_through,EX-15,C-2026-FCL,S-052,FCL-010,A-1400-S-052-FCL-010,,watch,in_progress,Merchant + Planner,2026-09-29T08:30:00-05:00,2026-10-06T08:30:00-05:00,,,,,,store,staff_absence,,0,,,,2026-09-29T09:00:00-05:00,status_change,CA-013,Rachel Green,2026-10-04,in_progress
EX-014,quantity_mismatch,EX-05,C-2026-FCL,S-036,FCL-008,A-1018-S-036-FCL-008,CONF-986-S-036-FCL-008,watch,closed,DC Operations,2026-09-01T07:45:00-07:00,2026-09-03T07:45:00-07:00,2026-09-02T15:45:00-07:00,32.0,reposted,Confirmation reposted by field rep after initial system error.,,forecast,demand_underestimate,,0,,,,2026-09-05T10:45:00-07:00,reassign,,,,
EX-015,low_sell_through,EX-15,C-2026-FCL,S-037,FCL-008,A-1278-S-037-FCL-008,,watch,escalated,Merchant + Planner,2026-09-29T13:15:00-05:00,2026-10-06T13:15:00-05:00,,,,,,,,,0,,,,2026-10-03T11:00:00-05:00,status_change,,,,
EX-016,overstock_risk,EX-13,C-2026-FCL,S-074,FCL-004,A-1254-S-074-FCL-004,,watch,paused,Merchant,2026-09-29T18:30:00-04:00,2026-10-06T18:30:00-04:00,,,,,,,,,0,store,2026-09-29T18:15:00-04:00,48,2026-09-30T10:45:00-04:00,status_change,,,,
EX-017,low_sell_through,EX-15,C-2026-PEACH,S-095,PEACH-006,A-294-S-095-PEACH-006,,watch,raised,Merchant + Planner,2026-07-29T07:15:00-05:00,2026-08-05T07:15:00-05:00,,,,,,,,,0,,,,2026-08-01T18:45:00-05:00,resume,,,,
EX-018,low_sell_through,EX-15,C-2026-FCL,S-072,FCL-007,A-1377-S-072-FCL-007,,watch,in_progress,Merchant + Planner,2026-09-29T09:15:00-04:00,2026-10-06T09:15:00-04:00,,,,,,store,training_gap,,0,,,,2026-10-04T13:45:00-04:00,pause,CA-018,Mark Thompson,2026-10-02,in_progress
EX-019,low_sell_through,EX-15,C-2026-BTS,S-065,BTS-009,A-709-S-065-BTS-009,,watch,raised,Merchant + Planner,2026-08-29T12:45:00-04:00,2026-09-05T12:45:00-04:00,,,,,,,,,0,,,,2026-09-02T09:00:00-04:00,reassign,,,,
EX-020,quantity_mismatch,EX-05,C-2026-BTS,S-028,BTS-005,A-625-S-028-BTS-005,CONF-605-S-028-BTS-005,watch,open,DC Operations,2026-08-01T10:00:00-07:00,2026-08-03T10:00:00-07:00,,,,,,,,,0,,,,2026-08-04T09:15:00-07:00,pause,,,,
EX-021,low_sell_through,EX-15,C-2026-FCL,S-011,FCL-004,A-1044-S-011-FCL-004,,watch,in_progress,Merchant + Planner,2026-09-29T10:30:00-05:00,2026-10-06T10:30:00-05:00,,,,,,supplier,capacity,,0,,,,2026-10-03T15:30:00-05:00,reassign,,,,
EX-022,late_setup,EX-03,C-2026-FCL,S-078,FCL-002,A-1152-S-078-FCL-002,CONF-1117-S-078-FCL-002,critical,waived,Store Manager,2026-09-12T13:30:00-05:00,2026-09-14T13:30:00-05:00,,,,,Waived due to system outage affecting all stores in the region that day.,,,,0,,,,2026-09-12T14:00:00-05:00,status_change,,,,
EX-023,low_sell_through,EX-15,C-2026-BTS,S-043,BTS-010,A-880-S-043-BTS-010,,watch,open,Merchant + Planner,2026-08-29T12:30:00-07:00,2026-09-05T12:30:00-07:00,,,,,,,,,0,,,,2026-08-30T17:45:00-07:00,reassign,,,,
EX-024,quantity_mismatch,EX-05,C-2026-BTS,S-058,BTS-009,A-499-S-058-BTS-009,CONF-485-S-058-BTS-009,watch,resolved,DC Operations,2026-08-01T16:00:00-05:00,2026-08-03T16:00:00-05:00,2026-08-02T12:45:00-05:00,20.0,no_action_required,Within tolerance threshold; no corrective action needed.,,forecast,seasonality_shift,,0,,,,2026-08-03T15:00:00-05:00,pause,,,,
EX-025,overstock_risk,EX-13,C-2026-FCL,S-092,FCL-010,A-1300-S-092-FCL-010,,watch,open,Merchant,2026-09-29T11:15:00-04:00,2026-10-06T11:15:00-04:00,,,,,,,,,0,,,,2026-10-04T17:30:00-04:00,pause,,,,
EX-026,stockout_risk,EX-10,C-2026-PEACH,S-084,PEACH-001,A-325-S-084-PEACH-001,,critical,raised,Replenishment Planner,2026-07-29T07:45:00-04:00,2026-07-30T07:45:00-04:00,,,,,,,,,0,,,,2026-07-31T08:00:00-04:00,resume,,,,
EX-027,low_sell_through,EX-15,C-2026-BTS,S-065,BTS-010,A-710-S-065-BTS-010,,watch,in_progress,Merchant + Planner,2026-08-29T12:00:00-04:00,2026-09-05T12:00:00-04:00,,,,,,forecast,demand_underestimate,,0,,,,2026-09-03T08:45:00-04:00,comment,,,,
EX-028,low_sell_through,EX-15,C-2026-PEACH,S-065,PEACH-012,A-252-S-065-PEACH-012,,watch,waived,Merchant + Planner,2026-07-29T18:00:00-04:00,2026-08-05T18:00:00-04:00,,,,,Store was closed for renovation; exception is not operationally actionable.,,,,0,,,,2026-07-30T12:45:00-04:00,resume,,,,
EX-029,low_sell_through,EX-15,C-2026-BTS,S-049,BTS-005,A-845-S-049-BTS-005,,watch,closed,Merchant + Planner,2026-08-29T13:00:00-05:00,2026-09-05T13:00:00-05:00,2026-09-04T10:45:00-05:00,141.0,corrected,Quantity corrected after recount at store receiving dock.,,forecast,demand_underestimate,,0,,,,2026-08-30T12:45:00-05:00,reassign,,,,
EX-030,low_sell_through,EX-15,C-2026-PEACH,S-016,PEACH-007,A-043-S-016-PEACH-007,,watch,resolved,Merchant + Planner,2026-07-29T15:30:00-05:00,2026-08-05T15:30:00-05:00,2026-08-01T09:00:00-05:00,66.0,good_will,Good will credit issued to store for the shortfall in shipment.,,logistics,address_error,,0,,,,2026-07-29T17:30:00-05:00,resume,,,,
EX-031,stockout_risk,EX-10,C-2026-PEACH,S-005,PEACH-001,A-397-S-005-PEACH-001,,critical,resolved,Replenishment Planner,2026-07-29T16:30:00-04:00,2026-07-30T16:30:00-04:00,2026-07-30T18:00:00-04:00,26.0,corrected,Quantity corrected after recount at store receiving dock.,,store,staff_absence,,0,,,,2026-08-03T16:45:00-04:00,resume,,,,
EX-032,low_sell_through,EX-15,C-2026-BTS,S-064,BTS-006,A-916-S-064-BTS-006,,watch,open,Merchant + Planner,2026-08-29T13:30:00-04:00,2026-09-05T13:30:00-04:00,,,,,,,,,0,,,,2026-09-01T15:45:00-04:00,status_change,,,,
EX-033,missing_photo_proof,EX-09,C-2026-FCL,S-075,FCL-003,A-983-S-075-FCL-003,CONF-952-S-075-FCL-003,watch,raised,Field Representative,2026-09-01T08:45:00-05:00,2026-09-03T08:45:00-05:00,,,,,,,,,0,,,,2026-09-02T09:00:00-05:00,comment,,,,
EX-034,quantity_mismatch,EX-05,C-2026-PEACH,S-065,PEACH-009,A-249-S-065-PEACH-009,CONF-246-S-065-PEACH-009,watch,resolved,DC Operations,2026-07-01T15:30:00-04:00,2026-07-03T15:30:00-04:00,2026-07-03T17:15:00-04:00,50.0,no_action_required,Within tolerance threshold; no corrective action needed.,,logistics,carrier_loss,,0,,,,2026-07-03T18:15:00-04:00,comment,,,,
EX-035,missing_confirmation,EX-01,C-2026-PEACH,S-061,PEACH-005,A-425-S-061-PEACH-005,,watch,resolved,Field Operations,2026-07-01T18:00:00-05:00,2026-07-03T18:00:00-05:00,2026-07-02T09:30:00-05:00,15.0,no_action_required,Within tolerance threshold; no corrective action needed.,,system,sync_failure,,0,,,,2026-07-01T11:30:00-05:00,pause,,,,
EX-036,missing_photo_proof,EX-09,C-2026-FCL,S-040,FCL-010,A-1310-S-040-FCL-010,CONF-1269-S-040-FCL-010,watch,waived,Field Representative,2026-09-01T10:45:00-05:00,2026-09-03T10:45:00-05:00,,,,,Duplicate of another tracked exception; merged into parent record.,,,,0,,,,2026-09-05T14:30:00-05:00,status_change,,,,
EX-037,low_sell_through,EX-15,C-2026-PEACH,S-087,PEACH-012,A-324-S-087-PEACH-012,,watch,waived,Merchant + Planner,2026-07-29T11:45:00-07:00,2026-08-05T11:45:00-07:00,,,,,Store was closed for renovation; exception is not operationally actionable.,,,,0,,,,2026-07-30T09:45:00-07:00,resume,,,,
EX-038,quantity_mismatch,EX-05,C-2026-PEACH,S-090,PEACH-003,A-375-S-090-PEACH-003,CONF-364-S-090-PEACH-003,watch,resolved,DC Operations,2026-07-01T09:15:00-05:00,2026-07-03T09:15:00-05:00,2026-07-03T12:00:00-05:00,51.0,corrected,Quantity corrected after recount at store receiving dock.,,forecast,seasonality_shift,,0,,,,2026-07-01T08:00:00-05:00,pause,,,,
EX-039,low_sell_through,EX-15,C-2026-FCL,S-074,FCL-002,A-1252-S-074-FCL-002,,watch,resolved,Merchant + Planner,2026-09-29T08:00:00-04:00,2026-10-06T08:00:00-04:00,2026-09-30T18:45:00-04:00,34.0,corrected,Quantity corrected after recount at store receiving dock.,,forecast,demand_overestimate,,1,,,,2026-10-03T17:00:00-04:00,resume,,,,
EX-040,low_sell_through,EX-15,C-2026-PEACH,S-031,PEACH-010,A-274-S-031-PEACH-010,,watch,closed,Merchant + Planner,2026-07-29T16:15:00-07:00,2026-08-05T16:15:00-07:00,2026-08-02T08:30:00-07:00,88.0,good_will,Good will credit issued to store for the shortfall in shipment.,,forecast,demand_overestimate,,0,,,,2026-07-31T10:15:00-07:00,reassign,,,,
EX-041,quantity_mismatch,EX-05,C-2026-BTS,S-098,BTS-007,A-517-S-098-BTS-007,CONF-503-S-098-BTS-007,watch,paused,DC Operations,2026-08-01T16:00:00-07:00,2026-08-03T16:00:00-07:00,,,,,,,,,0,transit,2026-08-01T12:00:00-07:00,24,2026-08-05T18:30:00-07:00,reassign,,,,
EX-042,quantity_mismatch,EX-05,C-2026-BTS,S-066,BTS-008,A-558-S-066-BTS-008,CONF-541-S-066-BTS-008,watch,resolved,DC Operations,2026-08-01T13:00:00-05:00,2026-08-03T13:00:00-05:00,2026-08-02T13:45:00-05:00,24.0,corrected,Quantity corrected after recount at store receiving dock.,,forecast,seasonality_shift,,0,,,,2026-08-03T10:45:00-05:00,status_change,,,,
EX-043,overstock_risk,EX-13,C-2026-FCL,S-074,FCL-003,A-1253-S-074-FCL-003,,watch,waived,Merchant,2026-09-29T07:45:00-04:00,2026-10-06T07:45:00-04:00,,,,,Waived due to system outage affecting all stores in the region that day.,,,,0,,,,2026-10-01T14:30:00-04:00,status_change,,,,
EX-044,overstock_risk,EX-13,C-2026-PEACH,S-099,PEACH-004,A-172-S-099-PEACH-004,,watch,in_progress,Merchant,2026-07-29T12:30:00-05:00,2026-08-05T12:30:00-05:00,,,,,,logistics,carrier_loss,,0,,,,2026-07-29T13:45:00-05:00,pause,CA-044,Mark Thompson,2026-08-04,resolved
EX-045,low_sell_through,EX-15,C-2026-FCL,S-069,FCL-005,A-1055-S-069-FCL-005,,watch,open,Merchant + Planner,2026-09-29T09:30:00-07:00,2026-10-06T09:30:00-07:00,,,,,,,,,0,,,,2026-09-30T15:15:00-07:00,pause,,,,
EX-046,overstock_risk,EX-13,C-2026-FCL,S-037,FCL-003,A-1273-S-037-FCL-003,,watch,escalated,Merchant,2026-09-29T14:30:00-05:00,2026-10-06T14:30:00-05:00,,,,,,,,,0,,,,2026-10-02T10:45:00-05:00,comment,CA-046,Sofia Reyes,2026-10-11,open
EX-047,low_sell_through,EX-15,C-2026-BTS,S-027,BTS-007,A-647-S-027-BTS-007,,watch,waived,Merchant + Planner,2026-08-29T17:30:00-04:00,2026-09-05T17:30:00-04:00,,,,,Within acceptable variance tolerance per revised business rules.,,,,0,,,,2026-08-31T14:00:00-04:00,comment,,,,
EX-048,low_sell_through,EX-15,C-2026-FCL,S-082,FCL-003,A-1163-S-082-FCL-003,,watch,in_progress,Merchant + Planner,2026-09-29T15:15:00-05:00,2026-10-06T15:15:00-05:00,,,,,,system,data_entry,,0,,,,2026-10-03T16:15:00-05:00,status_change,CA-048,Jess Brooks,2026-10-06,resolved
EX-049,low_sell_through,EX-15,C-2026-BTS,S-049,BTS-003,A-843-S-049-BTS-003,,watch,in_progress,Merchant + Planner,2026-08-29T11:45:00-05:00,2026-09-05T11:45:00-05:00,,,,,,system,sync_failure,,0,,,,2026-09-02T17:00:00-05:00,comment,,,,
EX-050,low_sell_through,EX-15,C-2026-PEACH,S-037,PEACH-003,A-051-S-037-PEACH-003,,watch,open,Merchant + Planner,2026-07-29T08:00:00-05:00,2026-08-05T08:00:00-05:00,,,,,,,,,0,,,,2026-08-02T15:30:00-05:00,status_change,,,,
EX-051,late_setup,EX-03,C-2026-PEACH,S-019,PEACH-012,A-132-S-019-PEACH-012,CONF-130-S-019-PEACH-012,critical,open,Store Manager,2026-07-12T12:00:00-05:00,2026-07-14T12:00:00-05:00,,,,,,,,,0,,,,2026-07-12T10:15:00-05:00,reassign,,,,
EX-052,low_sell_through,EX-15,C-2026-FCL,S-050,FCL-004,A-1244-S-050-FCL-004,,watch,in_progress,Merchant + Planner,2026-09-29T07:15:00-07:00,2026-10-06T07:15:00-07:00,,,,,,logistics,carrier_loss,,0,,,,2026-10-03T09:30:00-07:00,comment,CA-052,Sofia Reyes,2026-10-11,resolved
EX-053,low_sell_through,EX-15,C-2026-PEACH,S-035,PEACH-012,A-096-S-035-PEACH-012,,watch,closed,Merchant + Planner,2026-07-29T17:45:00-04:00,2026-08-05T17:45:00-04:00,2026-08-04T08:45:00-04:00,135.0,reposted,Confirmation reposted by field rep after initial system error.,,system,data_entry,,0,,,,2026-08-02T17:30:00-04:00,status_change,,,,
EX-054,low_sell_through,EX-15,C-2026-PEACH,S-048,PEACH-008,A-260-S-048-PEACH-008,,watch,in_progress,Merchant + Planner,2026-07-29T10:45:00-05:00,2026-08-05T10:45:00-05:00,,,,,,supplier,short_pick,,1,,,,2026-07-29T17:15:00-05:00,pause,CA-054,Amy Davis,2026-08-12,open
EX-055,late_setup,EX-03,C-2026-FCL,S-025,FCL-004,A-974-S-025-FCL-004,CONF-943-S-025-FCL-004,critical,closed,Store Manager,2026-09-14T15:45:00-05:00,2026-09-16T15:45:00-05:00,2026-09-16T13:30:00-05:00,46.0,system_fix,Integration patch deployed; data pipeline resynced successfully.,,supplier,short_pick,,0,,,,2026-09-15T09:00:00-05:00,pause,,,,
EX-056,low_sell_through,EX-15,C-2026-PEACH,S-018,PEACH-011,A-395-S-018-PEACH-011,,watch,escalated,Merchant + Planner,2026-07-29T10:45:00-05:00,2026-08-05T10:45:00-05:00,,,,,,,,,0,,,,2026-07-30T17:00:00-05:00,comment,CA-056,Tom Harris,2026-08-12,in_progress
EX-057,overstock_risk,EX-13,C-2026-PEACH,S-068,PEACH-006,A-438-S-068-PEACH-006,,watch,escalated,Merchant,2026-07-29T11:45:00-07:00,2026-08-05T11:45:00-07:00,,,,,,,,,0,,,,2026-08-02T13:30:00-07:00,status_change,CA-057,Mark Thompson,2026-08-05,resolved
EX-058,overstock_risk,EX-13,C-2026-BTS,S-064,BTS-006,A-916-S-064-BTS-006,,watch,in_progress,Merchant,2026-08-29T18:30:00-04:00,2026-09-05T18:30:00-04:00,,,,,,system,integration_timeout,,0,,,,2026-08-31T14:15:00-04:00,status_change,CA-058,Sofia Reyes,2026-09-09,in_progress
EX-059,missing_confirmation,EX-01,C-2026-BTS,S-090,BTS-001,A-541-S-090-BTS-001,,critical,open,Field Operations,2026-08-01T14:30:00-05:00,2026-08-03T14:30:00-05:00,,,,,,,,,0,,,,2026-08-03T14:45:00-05:00,status_change,,,,
EX-060,low_sell_through,EX-15,C-2026-BTS,S-062,BTS-007,A-767-S-062-BTS-007,,watch,in_progress,Merchant + Planner,2026-08-29T11:45:00-04:00,2026-09-05T11:45:00-04:00,,,,,,forecast,demand_overestimate,,0,,,,2026-09-02T18:30:00-04:00,resume,,,,
