exception_id,exception_type,upstream_rule_code,campaign_id,store_id,sku,allocation_id,confirmation_id,severity,exception_status,exception_owner,created_date,due_date,resolved_date,resolution_time_hours,resolution_type,resolution_text,waiver_reason,root_cause_category,root_cause_subcategory,parent_id,reopen_count,sla_pause_reason,sla_pause_started_at,sla_pause_max_hours,last_update_at,last_update_type,corrective_action_id,corrective_action_owner,corrective_action_deadline,corrective_action_status
EX-061,overstock_risk,EX-13,C-2026-BTS,S-049,BTS-002,A-842-S-049-BTS-002,,watch,paused,Merchant,2026-08-29T12:00:00-05:00,2026-09-05T12:00:00-05:00,,,,,,,,,0,system,2026-08-29T15:30:00-05:00,4,2026-08-30T10:45:00-05:00,status_change,,,,
EX-062,overstock_risk,EX-13,C-2026-PEACH,S-018,PEACH-008,A-392-S-018-PEACH-008,,watch,escalated,Merchant,2026-07-29T11:45:00-05:00,2026-08-05T11:45:00-05:00,,,,,,,,,0,,,,2026-07-31T18:45:00-05:00,pause,CA-062,Amy Davis,2026-08-01,in_progress
EX-063,low_sell_through,EX-15,C-2026-PEACH,S-031,PEACH-008,A-272-S-031-PEACH-008,,watch,waived,Merchant + Planner,2026-07-29T16:15:00-07:00,2026-08-05T16:15:00-07:00,,,,,Store was closed for renovation; exception is not operationally actionable.,,,,0,,,,2026-07-31T10:30:00-07:00,pause,,,,
EX-064,low_sell_through,EX-15,C-2026-FCL,S-075,FCL-003,A-983-S-075-FCL-003,,watch,resolved,Merchant + Planner,2026-09-29T08:45:00-05:00,2026-10-06T08:45:00-05:00,2026-10-06T12:15:00-05:00,172.0,system_fix,Integration patch deployed; data pipeline resynced successfully.,,customer,preference_shift,,0,,,,2026-10-01T15:45:00-05:00,status_change,,,,
EX-065,overstock_risk,EX-13,C-2026-PEACH,S-049,PEACH-009,A-453-S-049-PEACH-009,,watch,resolved,Merchant,2026-07-29T08:15:00-05:00,2026-08-05T08:15:00-05:00,2026-07-30T15:45:00-05:00,31.0,corrected,Quantity corrected after recount at store receiving dock.,,forecast,seasonality_shift,,0,,,,2026-08-03T11:45:00-05:00,comment,,,,
EX-066,low_sell_through,EX-15,C-2026-FCL,S-061,FCL-002,A-1402-S-061-FCL-002,,watch,resolved,Merchant + Planner,2026-09-29T08:45:00-05:00,2026-10-06T08:45:00-05:00,2026-09-30T10:45:00-05:00,26.0,corrected,Quantity corrected after recount at store receiving dock.,,dc,carton_damage,,0,,,,2026-10-04T10:15:00-05:00,reassign,,,,
EX-067,missing_photo_proof,EX-09,C-2026-BTS,S-014,BTS-009,A-829-S-014-BTS-009,CONF-805-S-014-BTS-009,watch,open,Field Representative,2026-08-01T10:00:00-05:00,2026-08-03T10:00:00-05:00,,,,,,,,,0,,,,2026-08-04T12:00:00-05:00,comment,,,,
EX-068,overstock_risk,EX-13,C-2026-BTS,S-069,BTS-005,A-785-S-069-BTS-005,,watch,resolved,Merchant,2026-08-29T07:45:00-07:00,2026-09-05T07:45:00-07:00,2026-09-05T14:00:00-07:00,175.0,no_action_required,Within tolerance threshold; no corrective action needed.,,forecast,demand_overestimate,,0,,,,2026-08-30T10:00:00-07:00,reassign,,,,
EX-069,overstock_risk,EX-13,C-2026-BTS,S-100,BTS-005,A-665-S-100-BTS-005,,watch,closed,Merchant,2026-08-29T11:15:00-04:00,2026-09-05T11:15:00-04:00,2026-09-04T17:45:00-04:00,150.0,good_will,Good will credit issued to store for the shortfall in shipment.,,forecast,demand_overestimate,,0,,,,2026-08-29T12:15:00-04:00,pause,,,,
EX-070,missing_photo_proof,EX-09,C-2026-FCL,S-025,FCL-009,A-979-S-025-FCL-009,CONF-948-S-025-FCL-009,watch,open,Field Representative,2026-09-01T13:00:00-05:00,2026-09-03T13:00:00-05:00,,,,,,,,,0,,,,2026-09-01T15:30:00-05:00,reassign,,,,
EX-071,low_sell_through,EX-15,C-2026-BTS,S-002,BTS-002,A-812-S-002-BTS-002,,watch,in_progress,Merchant + Planner,2026-08-29T16:15:00-05:00,2026-09-05T16:15:00-05:00,,,,,,customer,price_sensitivity,,0,,,,2026-08-30T11:45:00-05:00,status_change,,,,
EX-072,overstock_risk,EX-13,C-2026-FCL,S-092,FCL-004,A-1294-S-092-FCL-004,,watch,closed,Merchant,2026-09-29T08:15:00-04:00,2026-10-06T08:15:00-04:00,2026-10-02T12:45:00-04:00,76.0,good_will,Good will credit issued to store for the shortfall in shipment.,,dc,carton_damage,,0,,,,2026-09-29T12:15:00-04:00,status_change,,,,
EX-073,low_sell_through,EX-15,C-2026-FCL,S-061,FCL-006,A-1406-S-061-FCL-006,,watch,in_progress,Merchant + Planner,2026-09-29T09:30:00-05:00,2026-10-06T09:30:00-05:00,,,,,,system,integration_timeout,,0,,,,2026-09-30T12:45:00-05:00,status_change,,,,
EX-074,low_sell_through,EX-15,C-2026-PEACH,S-011,PEACH-009,A-069-S-011-PEACH-009,,watch,escalated,Merchant + Planner,2026-07-29T16:45:00-05:00,2026-08-05T16:45:00-05:00,,,,,,,,,0,,,,2026-08-02T12:30:00-05:00,resume,,,,
EX-075,quantity_mismatch,EX-05,C-2026-PEACH,S-037,PEACH-001,A-049-S-037-PEACH-001,CONF-048-S-037-PEACH-001,watch,raised,DC Operations,2026-07-01T12:30:00-05:00,2026-07-03T12:30:00-05:00,,,,,,,,,0,,,,2026-07-02T13:30:00-05:00,reassign,,,,
EX-076,late_setup,EX-03,C-2026-PEACH,S-045,PEACH-012,A-192-S-045-PEACH-012,CONF-189-S-045-PEACH-012,critical,open,Store Manager,2026-07-09T17:15:00-07:00,2026-07-11T17:15:00-07:00,,,,,,,,,0,,,,2026-07-13T17:45:00-07:00,resume,,,,
EX-077,low_sell_through,EX-15,C-2026-PEACH,S-095,PEACH-005,A-293-S-095-PEACH-005,,watch,waived,Merchant + Planner,2026-07-29T11:15:00-05:00,2026-08-05T11:15:00-05:00,,,,,Duplicate of another tracked exception; merged into parent record.,,,,0,,,,2026-08-02T18:45:00-05:00,status_change,,,,
EX-078,stockout_risk,EX-10,C-2026-BTS,S-073,BTS-007,A-887-S-073-BTS-007,,critical,resolved,Replenishment Planner,2026-08-29T11:15:00-04:00,2026-08-30T11:15:00-04:00,2026-08-30T12:15:00-04:00,25.0,reposted,Confirmation reposted by field rep after initial system error.,,store,space_constraint,,0,,,,2026-09-01T13:00:00-04:00,pause,,,,
EX-079,quantity_mismatch,EX-05,C-2026-PEACH,S-054,PEACH-002,A-206-S-054-PEACH-002,CONF-203-S-054-PEACH-002,watch,closed,DC Operations,2026-07-01T10:15:00-05:00,2026-07-03T10:15:00-05:00,2026-07-03T17:15:00-05:00,55.0,good_will,Good will credit issued to store for the shortfall in shipment.,,store,staff_absence,,0,,,,2026-07-03T17:00:00-05:00,pause,,,,
EX-080,quantity_mismatch,EX-05,C-2026-FCL,S-029,FCL-006,A-1006-S-029-FCL-006,CONF-974-S-029-FCL-006,watch,resolved,DC Operations,2026-09-01T09:00:00-05:00,2026-09-03T09:00:00-05:00,2026-09-02T10:30:00-05:00,25.0,system_fix,Integration patch deployed; data pipeline resynced successfully.,,dc,mislabel,,0,,,,2026-09-01T16:30:00-05:00,reassign,,,,
EX-081,late_setup,EX-03,C-2026-BTS,S-038,BTS-006,A-486-S-038-BTS-006,CONF-473-S-038-BTS-006,critical,closed,Store Manager,2026-08-14T10:45:00-04:00,2026-08-16T10:45:00-04:00,2026-08-15T10:30:00-04:00,24.0,no_action_required,Within tolerance threshold; no corrective action needed.,,customer,low_footfall,,0,,,,2026-08-15T14:15:00-04:00,resume,,,,
EX-082,low_sell_through,EX-15,C-2026-PEACH,S-092,PEACH-011,A-023-S-092-PEACH-011,,watch,resolved,Merchant + Planner,2026-07-29T17:00:00-04:00,2026-08-05T17:00:00-04:00,2026-08-04T08:45:00-04:00,135.0,reposted,Confirmation reposted by field rep after initial system error.,,logistics,carrier_loss,,0,,,,2026-08-01T12:15:00-04:00,reassign,,,,
EX-083,stockout_risk,EX-10,C-2026-FCL,S-063,FCL-001,A-1131-S-063-FCL-001,,critical,resolved,Replenishment Planner,2026-09-29T18:15:00-05:00,2026-09-30T18:15:00-05:00,2026-09-30T13:45:00-05:00,19.0,system_fix,Integration patch deployed; data pipeline resynced successfully.,,forecast,seasonality_shift,,0,,,,2026-10-03T14:30:00-05:00,resume,,,,
EX-084,stockout_risk,EX-10,C-2026-FCL,S-090,FCL-001,A-1171-S-090-FCL-001,,critical,resolved,Replenishment Planner,2026-09-29T07:45:00-05:00,2026-09-30T07:45:00-05:00,2026-09-30T14:00:00-05:00,31.0,reposted,Confirmation reposted by field rep after initial system error.,,forecast,seasonality_shift,,0,,,,2026-10-04T11:45:00-05:00,comment,,,,
EX-085,late_setup,EX-03,C-2026-PEACH,S-041,PEACH-002,A-338-S-041-PEACH-002,CONF-329-S-041-PEACH-002,critical,open,Store Manager,2026-07-15T14:30:00-07:00,2026-07-17T14:30:00-07:00,,,,,,,,,0,,,,2026-07-20T13:15:00-07:00,reassign,,,,
EX-086,low_sell_through,EX-15,C-2026-BTS,S-053,BTS-008,A-528-S-053-BTS-008,,watch,resolved,Merchant + Planner,2026-08-29T10:00:00-07:00,2026-09-05T10:00:00-07:00,2026-09-03T08:30:00-07:00,118.0,no_action_required,Within tolerance threshold; no corrective action needed.,,customer,price_sensitivity,,0,,,,2026-09-03T10:00:00-07:00,resume,,,,
EX-087,quantity_mismatch,EX-05,C-2026-BTS,S-002,BTS-002,A-812-S-002-BTS-002,CONF-788-S-002-BTS-002,watch,escalated,DC Operations,2026-08-01T10:15:00-05:00,2026-08-03T10:15:00-05:00,,,,,,,,,0,,,,2026-08-05T12:00:00-05:00,resume,CA-087,Ben Carter,2026-08-06,open
EX-088,missing_photo_proof,EX-09,C-2026-PEACH,S-011,PEACH-001,A-061-S-011-PEACH-001,CONF-060-S-011-PEACH-001,watch,in_progress,Field Representative,2026-07-01T16:45:00-05:00,2026-07-03T16:45:00-05:00,,,,,,store,receiving_error,,0,,,,2026-07-02T12:15:00-05:00,resume,CA-088,Jess Brooks,2026-07-09,resolved
EX-089,missing_photo_proof,EX-09,C-2026-FCL,S-058,FCL-004,A-1064-S-058-FCL-004,CONF-1031-S-058-FCL-004,watch,resolved,Field Representative,2026-09-01T18:30:00-05:00,2026-09-03T18:30:00-05:00,2026-09-03T18:15:00-05:00,48.0,system_fix,Integration patch deployed; data pipeline resynced successfully.,,store,training_gap,,0,,,,2026-09-04T18:15:00-05:00,status_change,,,,
EX-090,overstock_risk,EX-13,C-2026-FCL,S-058,FCL-004,A-1064-S-058-FCL-004,,watch,resolved,Merchant,2026-09-29T08:15:00-05:00,2026-10-06T08:15:00-05:00,2026-10-05T09:15:00-05:00,145.0,no_action_required,Within tolerance threshold; no corrective action needed.,,dc,mislabel,,0,,,,2026-10-02T17:00:00-05:00,reassign,,,,
EX-091,overstock_risk,EX-13,C-2026-PEACH,S-037,PEACH-007,A-055-S-037-PEACH-007,,watch,resolved,Merchant,2026-07-29T11:30:00-05:00,2026-08-05T11:30:00-05:00,2026-08-04T18:15:00-05:00,151.0,corrected,Quantity corrected after recount at store receiving dock.,,supplier,quality_defect,,0,,,,2026-07-29T16:30:00-05:00,pause,,,,
EX-092,stockout_risk,EX-10,C-2026-FCL,S-045,FCL-001,A-1281-S-045-FCL-001,,critical,escalated,Replenishment Planner,2026-09-29T17:00:00-07:00,2026-09-30T17:00:00-07:00,,,,,,,,,0,,,,2026-10-01T17:45:00-07:00,comment,,,,
EX-093,unresolved_issue_aging,EX-24,,S-009,,,,info,closed,Operations Lead,2026-05-24T07:15:00-05:00,2026-05-25T07:15:00-05:00,2026-05-25T13:15:00-05:00,30.0,corrected,Quantity corrected after recount at store receiving dock.,,forecast,seasonality_shift,,0,,,,2026-05-26T18:45:00-05:00,comment,,,,
EX-094,quantity_mismatch,EX-05,C-2026-BTS,S-043,BTS-009,A-879-S-043-BTS-009,CONF-852-S-043-BTS-009,watch,raised,DC Operations,2026-08-01T13:00:00-07:00,2026-08-03T13:00:00-07:00,,,,,,,,,0,,,,2026-08-05T15:15:00-07:00,pause,,,,
EX-095,low_sell_through,EX-15,C-2026-PEACH,S-099,PEACH-004,A-172-S-099-PEACH-004,,watch,raised,Merchant + Planner,2026-07-29T08:00:00-05:00,2026-08-05T08:00:00-05:00,,,,,,,,,0,,,,2026-07-31T13:15:00-05:00,pause,,,,
EX-096,late_setup,EX-03,C-2026-PEACH,S-046,PEACH-008,A-464-S-046-PEACH-008,CONF-451-S-046-PEACH-008,critical,resolved,Store Manager,2026-07-11T09:45:00-07:00,2026-07-13T09:45:00-07:00,2026-07-13T08:45:00-07:00,47.0,good_will,Good will credit issued to store for the shortfall in shipment.,,customer,price_sensitivity,,0,,,,2026-07-11T15:15:00-07:00,comment,,,,
EX-097,low_sell_through,EX-15,C-2026-PEACH,S-092,PEACH-009,A-021-S-092-PEACH-009,,watch,resolved,Merchant + Planner,2026-07-29T12:15:00-04:00,2026-08-05T12:15:00-04:00,2026-08-02T16:00:00-04:00,100.0,corrected,Quantity corrected after recount at store receiving dock.,,forecast,demand_underestimate,,0,,,,2026-08-02T14:30:00-04:00,comment,,,,
EX-098,low_sell_through,EX-15,C-2026-FCL,S-050,FCL-003,A-1243-S-050-FCL-003,,watch,in_progress,Merchant + Planner,2026-09-29T08:00:00-07:00,2026-10-06T08:00:00-07:00,,,,,,supplier,late_delivery,,0,,,,2026-10-04T13:00:00-07:00,pause,CA-098,Amy Davis,2026-10-02,in_progress
EX-099,low_sell_through,EX-15,C-2026-BTS,S-015,BTS-003,A-733-S-015-BTS-003,,watch,in_progress,Merchant + Planner,2026-08-29T10:00:00-07:00,2026-09-05T10:00:00-07:00,,,,,,dc,carton_damage,,0,,,,2026-09-03T11:00:00-07:00,resume,CA-099,Ben Carter,2026-09-05,in_progress
EX-100,low_sell_through,EX-15,C-2026-FCL,S-055,FCL-007,A-1227-S-055-FCL-007,,watch,paused,Merchant + Planner,2026-09-29T09:15:00-07:00,2026-10-06T09:15:00-07:00,,,,,,,,,0,vendor,2026-09-29T16:15:00-07:00,72,2026-10-01T11:30:00-07:00,resume,,,,
EX-101,overstock_risk,EX-13,C-2026-PEACH,S-018,PEACH-007,A-391-S-018-PEACH-007,,watch,closed,Merchant,2026-07-29T14:15:00-05:00,2026-08-05T14:15:00-05:00,2026-07-30T08:45:00-05:00,18.0,write_off,Damaged units written off after store-level damage assessment.,,customer,preference_shift,,0,,,,2026-07-29T14:30:00-05:00,reassign,,,,
EX-102,low_sell_through,EX-15,C-2026-FCL,S-092,FCL-004,A-1294-S-092-FCL-004,,watch,paused,Merchant + Planner,2026-09-29T11:45:00-04:00,2026-10-06T11:45:00-04:00,,,,,,,,,0,store,2026-09-29T11:30:00-04:00,48,2026-10-01T18:45:00-04:00,resume,,,,
EX-103,low_sell_through,EX-15,C-2026-BTS,S-065,BTS-007,A-707-S-065-BTS-007,,watch,escalated,Merchant + Planner,2026-08-29T13:30:00-04:00,2026-09-05T13:30:00-04:00,,,,,,,,,0,,,,2026-08-30T16:30:00-04:00,comment,CA-103,Jess Brooks,2026-09-08,open
EX-104,missing_photo_proof,EX-09,C-2026-BTS,S-081,BTS-008,A-618-S-081-BTS-008,CONF-598-S-081-BTS-008,watch,paused,Field Representative,2026-08-01T10:45:00-05:00,2026-08-03T10:45:00-05:00,,,,,,,,,0,system,2026-08-01T11:30:00-05:00,4,2026-08-02T14:15:00-05:00,pause,,,,
EX-105,low_sell_through,EX-15,C-2026-PEACH,S-035,PEACH-009,A-093-S-035-PEACH-009,,watch,open,Merchant + Planner,2026-07-29T13:15:00-04:00,2026-08-05T13:15:00-04:00,,,,,,,,,0,,,,2026-07-31T08:30:00-04:00,pause,,,,
EX-106,low_sell_through,EX-15,C-2026-FCL,S-100,FCL-008,A-1128-S-100-FCL-008,,watch,resolved,Merchant + Planner,2026-09-29T08:45:00-04:00,2026-10-06T08:45:00-04:00,2026-10-05T12:45:00-04:00,148.0,corrected,Quantity corrected after recount at store receiving dock.,,logistics,address_error,,0,,,,2026-09-30T18:45:00-04:00,pause,,,,
EX-107,missing_photo_proof,EX-09,C-2026-BTS,S-098,BTS-005,A-515-S-098-BTS-005,CONF-501-S-098-BTS-005,watch,paused,Field Representative,2026-08-01T16:45:00-07:00,2026-08-03T16:45:00-07:00,,,,,,,,,0,store,2026-08-01T11:00:00-07:00,48,2026-08-01T16:15:00-07:00,status_change,,,,
EX-108,quantity_mismatch,EX-05,C-2026-FCL,S-055,FCL-005,A-1225-S-055-FCL-005,CONF-1188-S-055-FCL-005,watch,escalated,DC Operations,2026-09-01T10:45:00-07:00,2026-09-03T10:45:00-07:00,,,,,,,,,0,,,,2026-09-06T12:15:00-07:00,status_change,,,,
EX-109,low_sell_through,EX-15,C-2026-PEACH,S-007,PEACH-012,A-228-S-007-PEACH-012,,watch,in_progress,Merchant + Planner,2026-07-29T07:15:00-05:00,2026-08-05T07:15:00-05:00,,,,,,dc,mislabel,,0,,,,2026-08-03T10:30:00-05:00,status_change,,,,
EX-110,missing_photo_proof,EX-09,C-2026-FCL,S-051,FCL-003,A-1113-S-051-FCL-003,CONF-1079-S-051-FCL-003,watch,waived,Field Representative,2026-09-01T17:30:00-05:00,2026-09-03T17:30:00-05:00,,,,,Duplicate of another tracked exception; merged into parent record.,,,,0,,,,2026-09-02T18:30:00-05:00,reassign,,,,
EX-111,low_sell_through,EX-15,C-2026-PEACH,S-013,PEACH-008,A-356-S-013-PEACH-008,,watch,raised,Merchant + Planner,2026-07-29T10:45:00-07:00,2026-08-05T10:45:00-07:00,,,,,,,,,0,,,,2026-07-29T10:45:00-07:00,comment,,,,
EX-112,overstock_risk,EX-13,C-2026-PEACH,S-058,PEACH-003,A-099-S-058-PEACH-003,,watch,open,Merchant,2026-07-29T10:45:00-05:00,2026-08-05T10:45:00-05:00,,,,,,,,,0,,,,2026-07-31T14:30:00-05:00,status_change,,,,
EX-113,low_sell_through,EX-15,C-2026-BTS,S-049,BTS-009,A-849-S-049-BTS-009,,watch,closed,Merchant + Planner,2026-08-29T10:00:00-05:00,2026-09-05T10:00:00-05:00,2026-09-04T10:30:00-05:00,144.0,corrected,Quantity corrected after recount at store receiving dock.,,system,integration_timeout,,0,,,,2026-09-01T16:45:00-05:00,status_change,,,,
EX-114,low_sell_through,EX-15,C-2026-FCL,S-011,FCL-002,A-1042-S-011-FCL-002,,watch,raised,Merchant + Planner,2026-09-29T08:45:00-05:00,2026-10-06T08:45:00-05:00,,,,,,,,,0,,,,2026-10-02T12:00:00-05:00,pause,,,,
EX-115,stockout_risk,EX-10,C-2026-PEACH,S-096,PEACH-001,A-409-S-096-PEACH-001,,critical,in_progress,Replenishment Planner,2026-07-29T10:45:00-07:00,2026-07-30T10:45:00-07:00,,,,,,system,sync_failure,,0,,,,2026-08-03T09:30:00-07:00,pause,CA-115,Mark Thompson,2026-08-01,in_progress
EX-116,late_setup,EX-03,C-2026-PEACH,S-090,PEACH-001,A-373-S-090-PEACH-001,CONF-362-S-090-PEACH-001,critical,paused,Store Manager,2026-07-13T17:15:00-05:00,2026-07-15T17:15:00-05:00,,,,,,,,,0,store,2026-07-13T16:00:00-05:00,48,2026-07-13T12:30:00-05:00,resume,,,,
EX-117,stockout_risk,EX-10,C-2026-BTS,S-080,BTS-001,A-651-S-080-BTS-001,,critical,raised,Replenishment Planner,2026-08-29T15:30:00-05:00,2026-08-30T15:30:00-05:00,,,,,,,,,0,,,,2026-08-29T17:00:00-05:00,comment,,,,
EX-118,overstock_risk,EX-13,C-2026-BTS,S-018,BTS-004,A-504-S-018-BTS-004,,watch,resolved,Merchant,2026-08-29T14:00:00-05:00,2026-09-05T14:00:00-05:00,2026-09-01T11:15:00-05:00,69.0,corrected,Quantity corrected after recount at store receiving dock.,,supplier,short_pick,,0,,,,2026-09-02T12:45:00-05:00,reassign,,,,
EX-119,missing_photo_proof,EX-09,C-2026-PEACH,S-011,PEACH-004,A-064-S-011-PEACH-004,CONF-063-S-011-PEACH-004,watch,raised,Field Representative,2026-07-01T13:15:00-05:00,2026-07-03T13:15:00-05:00,,,,,,,,,0,,,,2026-07-06T17:15:00-05:00,pause,,,,
EX-120,low_sell_through,EX-15,C-2026-BTS,S-069,BTS-008,A-788-S-069-BTS-008,,watch,open,Merchant + Planner,2026-08-29T16:30:00-07:00,2026-09-05T16:30:00-07:00,,,,,,,,,0,,,,2026-08-30T16:30:00-07:00,comment,,,,
EX-121,low_sell_through,EX-15,C-2026-PEACH,S-048,PEACH-008,A-260-S-048-PEACH-008,,watch,open,Merchant + Planner,2026-07-29T10:45:00-05:00,2026-08-05T10:45:00-05:00,,,,,,supplier,short_pick,EX-054,1,,,,2026-07-29T17:15:00-05:00,pause,CA-054,Amy Davis,2026-08-12,open
EX-122,overstock_risk,EX-13,C-2026-PEACH,S-037,PEACH-002,A-050-S-037-PEACH-002,,watch,open,Merchant,2026-07-29T08:30:00-05:00,2026-08-05T08:30:00-05:00,,,,,,logistics,route_delay,EX-007,1,,,,2026-07-30T08:45:00-05:00,comment,CA-007,Jess Brooks,2026-08-09,open
EX-123,low_sell_through,EX-15,C-2026-FCL,S-074,FCL-002,A-1252-S-074-FCL-002,,watch,open,Merchant + Planner,2026-09-29T08:00:00-04:00,2026-10-06T08:00:00-04:00,,,,,,forecast,demand_overestimate,EX-039,1,,,,2026-10-03T17:00:00-04:00,resume,,,,
